@ko_enzyme	202E	203F	208A	205C	204C	206A	206B	202B	202A	201D	202D	205B	208F	208E	206C	209C	206E	209B	204B	203D	208G	208B	206D	206F	205D	205G	202F	209D	201A	203B	208C	209A	205E	204E	201E	204D	201C	206G	204G	201F	204F	205A	202G	201G	203G	203A	202C	208D	201B	205F	204A	203E	203C	218E	215B	210F	214C	216C	216A	211E	211C	218G	215C	210A	211G	215A	220B	215G	214D	213D	218A	211F	209E	215E	216G	213B	211D	214F	216F	209G	211B	214A	218C	213E	211A	220C	215D	210E	216E	218F	213G	216B	218B	215F	218D	220A	213C	210B	210C	216D	220D	214B	214E	213A	213F	214G	209F	210G	210D	221A	222E	224B	224D	220F	223A	220E	223C	221E	221F	221D	222F	221C	220G	222B	223B	222C	224C	221G	223D	224G	224F	221B	222D	223E	224A	223F	222A	224E	223G	222G
1.1.1.1 adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase	16	45	35	60	20	26	13	12	21	82	13	30	26	54	22	15	13	28	15	12	67	59	20	46	87	17	11	44	39	35	20	25	48	22	34	9	83	17	30	72	43	28	57	5	25	20	36	22	30	34	23	23	19	30	298	14	40	21	18	28	18	38	88	23	3	361	9	54	25	27	31	45	25	148	6	24	28	28	8	26	130	53	59	41	23	5	124	14	17	49	127	31	35	625	79	6	140	8	14	11	7	23	13	93	39	13	124	10	5	19	16	29	57	8	19	8	12	20	33	13	11	21	7	22	11	14	50	19	11	20	47	38	13	8	29	10	27	125	8	9
1.1.1.1 adhP; alcohol dehydrogenase, propanol-preferring	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
1.1.1.1 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.1 gbsB; choline dehydrogenase	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	1	3	2	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	1	0	0	1	1	0	0	5	0	1	1	0	0	0	2	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	3	0	14	1	0	1	0	0	1	0	0	0	0	1	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1.1.1.1 yiaY; alcohol dehydrogenase	2	6	4	21	1	3	1	1	3	5	1	10	4	8	2	1	1	2	1	1	11	11	2	6	27	4	0	2	3	5	3	1	12	3	3	1	3	2	2	2	4	7	2	0	4	3	1	7	1	8	4	2	3	6	47	2	7	4	5	6	5	10	18	4	0	54	1	7	4	2	6	8	2	27	1	3	6	8	1	1	37	8	9	3	6	1	12	2	2	6	17	8	9	48	11	1	19	2	1	2	1	4	4	5	5	2	11	1	1	3	2	2	4	0	3	1	1	3	5	2	1	2	1	4	1	2	2	2	1	1	3	5	2	0	5	1	4	6	1	1
1.1.1.100 fabG; 3-oxoacyl-[acyl-carrier protein] reductase	18	67	53	118	14	46	35	15	28	128	17	89	37	67	60	45	39	87	18	17	51	119	36	76	90	32	22	133	47	59	42	86	69	23	50	21	82	31	21	24	30	52	51	12	33	25	38	33	28	45	40	36	24	25	355	24	64	22	34	40	21	35	163	27	5	633	5	77	39	29	32	86	96	179	17	52	36	46	20	104	236	69	32	45	32	24	220	38	27	41	369	63	34	626	53	20	175	12	21	23	12	51	18	140	37	27	496	18	7	24	17	34	50	10	47	14	29	36	53	15	14	32	17	30	14	29	65	29	28	15	44	51	17	18	63	28	33	74	16	16
1.1.1.100 mabA; beta-ketoacyl ACP reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.103 tdh; threonine 3-dehydrogenase	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	3	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	1	0	1	1	0	0	12	0	4	0	0	0	2	2	2	0	0	1	1	0	1	4	0	1	0	2	0	8	0	0	1	0	0	1	15	4	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.107 pldh; pyridoxal 4-dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.108 lcdH, cdhA; carnitine 3-dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
