"","PLOT_NAME","SUPER_PATHWAY","SUB_PATHWAY","Rmcorr","CI_lower","CI_upper","p_value","padj","sig"
"1","S-1-pyrroline-5-carboxylate","Amino Acid","Glutamate Metabolism",-0.215097810045233,-0.442926929353786,0.0388259804861504,0.095960229378995,0.987519423912971,""
"2","spermidine","Amino Acid","Polyamine Metabolism",-0.0077654186004598,-0.259079529275902,0.244533504063313,0.95263668886726,0.996044105356185,""
"3","1-methylnicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",-0.206076706884903,-0.435307432797126,0.0482478234113037,0.1110776756473,0.987519423912971,""
"4","12,13-DiHOME","Lipid","Fatty Acid, Dihydroxy",0.0258825954890322,-0.227420418473198,0.27590504765192,0.843044580012944,0.996044105356185,""
"5","alpha-ketoglutarate","Energy","TCA Cycle",0.149410118288265,-0.106414417008642,0.386682110542161,0.25045134609259,0.987519423912971,""
"6","kynurenate","Amino Acid","Tryptophan Metabolism",-0.0071054145733063,-0.258463686887599,0.24515397616639,0.956658185911018,0.996044105356185,""
"7","3-hydroxyisobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",0.143967401722186,-0.111910539454591,0.381941251195692,0.268320718696184,0.987519423912971,""
"8","3-hydroxy-3-methylglutarate","Lipid","Mevalonate Metabolism",-0.181576273465941,-0.414446578846424,0.0736102709822078,0.16136666379906,0.987519423912971,""
"9","homovanillate (HVA)","Amino Acid","Tyrosine Metabolism",0.0913006399021771,-0.164297528405151,0.335409838936837,0.484056996629946,0.987519423912971,""
"10","3-phosphoglycerate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.0612560398494996,-0.193550317550729,0.30832076418971,0.639092362097216,0.996044105356185,""
"11","cholate","Lipid","Primary Bile Acid Metabolism",-0.0499590668284444,-0.298030366513428,0.20443359586399,0.702194756467975,0.996044105356185,""
"12","5,6-dihydrothymine","Nucleotide","Pyrimidine Metabolism, Thymine containing",-0.0138241240332977,-0.264723307952623,0.238828023349604,0.915787684823036,0.996044105356185,""
"13","hypoxanthine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.0829763524740703,-0.172447710122253,0.327944633779585,0.524934997982856,0.987519423912971,""
"14","9,10-DiHOME","Lipid","Fatty Acid, Dihydroxy",0.113070964250932,-0.142816270061996,0.354789562280604,0.385596962975558,0.987519423912971,""
"15","linoleate (18:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",0.0682163055530445,-0.186813569335872,0.314632204298913,0.601410413368793,0.996044105356185,""
"16","laurate (12:0)","Lipid","Medium Chain Fatty Acid",0.149607054809343,-0.106215254589173,0.386853416640043,0.249820325462128,0.987519423912971,""
"17","quinolinate","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",0.0258259680038911,-0.227474152408239,0.275852695041855,0.843383640231167,0.996044105356185,""
"18","N6,N6,N6-trimethyllysine","Amino Acid","Lysine Metabolism",-0.0356709602221042,-0.284932241914232,0.218108983630858,0.784912914235802,0.996044105356185,""
"19","N-acetylputrescine","Amino Acid","Polyamine Metabolism",0.0427065356540162,-0.21138754776317,0.291393514752269,0.74382108728478,0.996044105356185,""
"20","N-formylmethionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",0.0874651799062775,-0.16805710871082,0.331974009996546,0.502680053357321,0.987519423912971,""
"21","adenosine 3',5'-cyclic monophosphate (cAMP)","Nucleotide","Purine Metabolism, Adenine containing",0.149774730427634,-0.106045667617612,0.386999257108039,0.249283915766912,0.987519423912971,""
"22","5-methylthioadenosine (MTA)","Amino Acid","Polyamine Metabolism",-0.083931758017333,-0.32880299666871,0.171514060542998,0.520157415660378,0.987519423912971,""
"23","N6-methyladenosine","Nucleotide","Purine Metabolism, Adenine containing",-0.027755413326762,-0.277635648859381,0.225642428308931,0.831847307952001,0.996044105356185,""
"24","arachidonate (20:4n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",-0.038614642253329,-0.287638394777442,0.215299663731156,0.767641771903462,0.996044105356185,""
"25","arginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",-0.191250888076198,-0.422713354580128,0.0636345506980765,0.139814450601409,0.987519423912971,""
"26","aspartate","Amino Acid","Alanine and Aspartate Metabolism",0.0811324970576887,-0.174248281637841,0.326286918479467,0.534216807642275,0.988467689816267,""
"27","3-(4-hydroxyphenyl)lactate (HPLA)","Amino Acid","Tyrosine Metabolism",0.0424188035693392,-0.211662904704933,0.291129714042055,0.745488607691557,0.996044105356185,""
"28","phenylpyruvate","Amino Acid","Phenylalanine Metabolism",-0.0746227649376562,-0.320422269689594,0.180591571375641,0.567618101933316,0.996044105356185,""
"29","beta-alanine","Nucleotide","Pyrimidine Metabolism, Uracil containing",0.0252178843201687,-0.228051067041927,0.275290422798339,0.847026345498496,0.996044105356185,""
"30","biliverdin","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",-0.0857574568807345,-0.330442130805443,0.16972865840661,0.511089013925454,0.987519423912971,""
"31","succinate","Energy","TCA Cycle",0.090658183403335,-0.16492779290721,0.334834774829599,0.487150796689592,0.987519423912971,""
"32","3-hydroxybutyrate (BHBA)","Lipid","Ketone Bodies",0.159497142510629,-0.096186913902458,0.395435344169322,0.219514732858677,0.987519423912971,""
"33","cholesterol","Lipid","Sterol",-0.221629157202015,-0.448423039488892,0.0319761996604948,0.0860544517863694,0.987519423912971,""
"34","phosphocholine","Lipid","Phospholipid Metabolism",-0.00196016523333193,-0.253655697177428,0.249983968415843,0.988038028745799,0.996044105356185,""
"35","corticosterone","Lipid","Corticosteroids",0.0629249487900961,-0.191937189895532,0.309836084951679,0.629969179065994,0.996044105356185,""
"36","cortisone","Lipid","Corticosteroids",-0.0162668853038561,-0.26699392664656,0.236522731000199,0.900976195911326,0.996044105356185,""
"37","creatinine","Amino Acid","Creatine Metabolism",-0.0934922654531817,-0.337370199541573,0.162145922237785,0.473581637399561,0.987519423912971,""
"38","cysteinylglycine","Amino Acid","Glutathione Metabolism",-0.0137152078632483,-0.264622002328218,0.238930743873215,0.916448791056027,0.996044105356185,""
"39","cystine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",-0.114162109433583,-0.355755453073647,0.141733231315594,0.380998722981737,0.987519423912971,""
"40","sphingosine","Lipid","Sphingosines",0.0560208301583201,-0.198601623016395,0.303559196776375,0.668052754396491,0.996044105356185,""
"41","deoxycholate","Lipid","Secondary Bile Acid Metabolism",-0.0788967332763795,-0.324274833810337,0.176429273177195,0.545578668564212,0.996044105356185,""
"42","cystathionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",0.003545745721735,-0.248496874223934,0.255138673360957,0.978363767306655,0.996044105356185,""
"43","sphinganine","Lipid","Sphingolipid Synthesis",0.150721478242225,-0.10508784839728,0.387822494345764,0.246269903344245,0.987519423912971,""
"44","fumarate","Energy","TCA Cycle",0.0470205067644423,-0.207254275972677,0.295344152804477,0.718964097521914,0.996044105356185,""
"45","gamma-glutamylglutamate","Peptide","Gamma-glutamyl Amino Acid",-0.0213308200214238,-0.271692152974785,0.231734691806173,0.870383822350682,0.996044105356185,""
"46","gluconate","Xenobiotics","Food Component/Plant",0.0925549899363328,-0.163066380563325,0.336532086098433,0.478046623811642,0.987519423912971,""
"47","glutarate (C5-DC)","Lipid","Fatty Acid, Dicarboxylate",-0.13924275045723,-0.377815680225984,0.116668891317213,0.284508414678856,0.987519423912971,""
"48","glycine","Amino Acid","Glycine, Serine and Threonine Metabolism",-0.23977242910411,-0.463601087305404,0.0128225300294565,0.0627170871409689,0.971901767872889,""
"49","glycocholate","Lipid","Primary Bile Acid Metabolism",0.158944432547045,-0.0967487228910051,0.394956825368443,0.221137271130861,0.987519423912971,""
"50","guanidinoacetate","Amino Acid","Creatine Metabolism",0.0569192153170123,-0.197735757066314,0.304377182576976,0.663047168439753,0.996044105356185,""
"51","histidine","Amino Acid","Histidine Metabolism",-0.263064896909438,-0.482896089454636,-0.0120418742394755,0.0405278286591081,0.841634979113164,""
"52","cortisol","Lipid","Corticosteroids",0.00932680780457991,-0.243064813543077,0.260535631030072,0.943127782671582,0.996044105356185,""
"53","hypotaurine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",0.0207428485018776,-0.232291259112002,0.271147255386639,0.873927082654954,0.996044105356185,""
"54","inosine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.223054586008616,-0.0304781009296615,0.449620258207615,0.0840035465685919,0.987519423912971,""
"55","myo-inositol","Lipid","Inositol Metabolism",0.22442272552852,-0.0290391400427148,0.45076859448425,0.0820715142911175,0.987519423912971,""
"56","isoleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",0.102918721169044,-0.152863799376702,0.345777910404561,0.429942063862538,0.987519423912971,""
"57","2-aminoadipate","Amino Acid","Lysine Metabolism",0.0363083149069814,-0.217501077044195,0.285518504910786,0.781164354309222,0.996044105356185,""
"58","citrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",-0.252735908320882,-0.474366027907411,-0.000977373416436447,0.0493997667215222,0.841634979113164,""
"59","leucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",0.0136780495001588,-0.238965787206285,0.264587439148409,0.916674350133536,0.996044105356185,""
"60","lysine","Amino Acid","Lysine Metabolism",-0.127892375427048,-0.367865650753471,0.128052413517337,0.325977666531422,0.987519423912971,""
"61","malate","Energy","TCA Cycle",-0.0241191287783305,-0.274274010586993,0.229093051963959,0.853616436728146,0.996044105356185,""
"62","methionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",-0.207677120423661,-0.436661590942685,0.0465796114214081,0.108269889991251,0.987519423912971,""
"63","methylmalonate (MMA)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)",-0.20544098085717,-0.434769237839375,0.0489100872491408,0.112208415203337,0.987519423912971,""
"64","palmitate (16:0)","Lipid","Long Chain Saturated Fatty Acid",0.0424583542400875,-0.211625057470173,0.29116597742996,0.745259326946024,0.996044105356185,""
"65","nicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",0.11519457152312,-0.140707875290053,0.356668922134249,0.376678130389407,0.987519423912971,""
"66","stearate (18:0)","Lipid","Long Chain Saturated Fatty Acid",0.0171974388927413,-0.235643796040873,0.267858172066508,0.895342405214621,0.996044105356185,""
"67","ornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",-0.187703330695441,-0.419686499689925,0.0672984436418426,0.147451552867492,0.987519423912971,""
"68","orotate","Nucleotide","Pyrimidine Metabolism, Orotate containing",-0.0323886751631859,-0.281910115757425,0.221236499725198,0.80429275149039,0.996044105356185,""
"69","palmitoleate (16:1n7)","Lipid","Long Chain Monounsaturated Fatty Acid",0.0224951792963277,-0.230632033128239,0.272770739518297,0.863374649483672,0.996044105356185,""
