"","PLOT_NAME","SUPER_PATHWAY","SUB_PATHWAY","Rmcorr","CI_lower","CI_upper","p_value","padj","sig"
"1","S-1-pyrroline-5-carboxylate","Amino Acid","Glutamate Metabolism",0.0237422791328216,-0.231578552743369,0.276003027963872,0.857102666480629,0.978507307579512,""
"2","spermidine","Amino Acid","Polyamine Metabolism",-0.119104911929148,-0.362079012786049,0.139024399843896,0.364720242473394,0.902750344938003,""
"3","1-methylnicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",0.133956625932788,-0.124192470488435,0.375121605790591,0.307536854406223,0.875370429606745,""
"4","12,13-DiHOME","Lipid","Fatty Acid, Dihydroxy",-0.014285717219214,-0.267241003821867,0.240511439591517,0.913730438067139,0.98991423670009,""
"5","alpha-ketoglutarate","Energy","TCA Cycle",-0.197139044428859,-0.429560599102424,0.0597780562017834,0.131102324482905,0.831141825375282,""
"6","kynurenate","Amino Acid","Tryptophan Metabolism",-0.0332856008828304,-0.284803136839259,0.222519847351094,0.800673633006742,0.97506350077346,""
"7","3-hydroxyisobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",-0.0977817723504282,-0.343185451978141,0.160118546667508,0.457321126633457,0.925035915235857,""
"8","3-hydroxy-3-methylglutarate","Lipid","Mevalonate Metabolism",-0.120144582162308,-0.36299514580982,0.137989870686258,0.360518722912327,0.902750344938003,""
"9","homovanillate (HVA)","Amino Acid","Tyrosine Metabolism",0.0685450146456461,-0.188663426092931,0.316953062644868,0.602791003269859,0.960981009182483,""
"10","3-phosphoglycerate","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.102688953547134,-0.155284841789437,0.347551168195433,0.434943722546385,0.924581214313795,""
"11","cholate","Lipid","Primary Bile Acid Metabolism",0.00441200325704039,-0.24979254588914,0.258047610638575,0.97331058105976,0.995295890369342,""
"12","5,6-dihydrothymine","Nucleotide","Pyrimidine Metabolism, Thymine containing",0.0407896061630651,-0.215365744488605,0.291693100603988,0.756988894502903,0.971250083747139,""
"13","hypoxanthine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",-0.11721014859263,-0.360408183656086,0.14090834579751,0.372453605496943,0.902750344938003,""
"14","9,10-DiHOME","Lipid","Fatty Acid, Dihydroxy",-0.163166969369855,-0.400498181406955,0.0946805493097305,0.21288682467304,0.831141825375282,""
