Samle #,Sample ID,study
1,201A,Fiber Study
2,201B,Fiber Study
3,201C,Fiber Study
4,201D,Fiber Study
5,202A,Fiber Study
6,202B,Fiber Study
7,202C,Fiber Study
8,202D,Fiber Study
9,203A,Fiber Study
10,203B,Fiber Study
11,203C,Fiber Study
12,203D,Fiber Study
13,204A,Fiber Study
14,204B,Fiber Study
15,204C,Fiber Study
16,204D,Fiber Study
17,205A,Fiber Study
18,205B,Fiber Study
19,205C,Fiber Study
20,205D,Fiber Study
21,206A,Fiber Study
22,206B,Fiber Study
23,206C,Fiber Study
24,206D,Fiber Study
25,208A,Fiber Study
26,208B,Fiber Study
27,208C,Fiber Study
28,208D,Fiber Study
29,209A,Fiber Study
30,209B,Fiber Study
31,209C,Fiber Study
32,209D,Fiber Study
33,210A,Fiber Study
34,210B,Fiber Study
35,210C,Fiber Study
36,210D,Fiber Study
37,211A,Fiber Study
38,211B,Fiber Study
39,211C,Fiber Study
40,211D,Fiber Study
41,213A,Fiber Study
42,213B,Fiber Study
43,213C,Fiber Study
44,213D,Fiber Study
45,214A,Fiber Study
46,214B,Fiber Study
47,214C,Fiber Study
48,214D,Fiber Study
49,215A,Fiber Study
50,215B,Fiber Study
51,215C,Fiber Study
52,215D,Fiber Study
53,216A,Fiber Study
54,216B,Fiber Study
55,216C,Fiber Study
56,216D,Fiber Study
57,218A,Fiber Study
58,218B,Fiber Study
59,218C,Fiber Study
60,218D,Fiber Study
61,220A,Fiber Study
62,220B,Fiber Study
63,220C,Fiber Study
64,220D,Fiber Study
65,221A,Fiber Study
66,221B,Fiber Study
67,221C,Fiber Study
68,221D,Fiber Study
69,222A,Fiber Study
70,222B,Fiber Study
71,222C,Fiber Study
72,222D,Fiber Study
73,223A,Fiber Study
74,223B,Fiber Study
75,223C,Fiber Study
76,223D,Fiber Study
77,224A,Fiber Study
78,224B,Fiber Study
79,224C,Fiber Study
80,224D,Fiber Study
